timestamp|input_json|label|probability
2025-12-01T05:25:46.413382|{"amount": 120.0, "transaction_time": 3600.0, "merchant_type": "online", "card_country": "US", "device_score": 0.4}|not_fraud|0.005000
2025-12-01T05:26:05.966822|{"amount": 20000.0, "transaction_time": 2100.0, "merchant_type": "online", "card_country": "US", "device_score": 0.4}|fraud|0.620000
2025-12-01T05:26:24.929736|{"amount": 233.0, "transaction_time": 2100.0, "merchant_type": "online", "card_country": "US", "device_score": 0.4}|fraud|0.630000
2025-12-01T05:26:31.255238|{"amount": 233.0, "transaction_time": 900.0, "merchant_type": "online", "card_country": "US", "device_score": 0.4}|fraud|0.620000
2025-12-01T05:26:37.391150|{"amount": 143.0, "transaction_time": 900.0, "merchant_type": "online", "card_country": "US", "device_score": 0.4}|not_fraud|0.055000
2025-12-01T05:26:41.992418|{"amount": 143.0, "transaction_time": 0.0, "merchant_type": "online", "card_country": "US", "device_score": 0.4}|not_fraud|0.125000
2025-12-01T05:26:46.054314|{"amount": 143.0, "transaction_time": 2100.0, "merchant_type": "online", "card_country": "US", "device_score": 0.4}|not_fraud|0.035000
2025-12-01T05:26:49.939376|{"amount": 143.0, "transaction_time": 3900.0, "merchant_type": "online", "card_country": "US", "device_score": 0.4}|not_fraud|0.025000
2025-12-01T05:26:58.008431|{"amount": 233000000.0, "transaction_time": 3900.0, "merchant_type": "online", "card_country": "US", "device_score": 0.4}|fraud|0.625000
2025-12-01T05:27:02.213554|{"amount": 233000000.0, "transaction_time": 3900.0, "merchant_type": "grocery", "card_country": "US", "device_score": 0.4}|fraud|0.725000
2025-12-01T05:27:07.525631|{"amount": 233000000.0, "transaction_time": 3900.0, "merchant_type": "grocery", "card_country": "US", "device_score": 0.55}|fraud|0.845000
2025-12-01T05:29:27.945661|{"amount": 120.0, "transaction_time": 3600.0, "merchant_type": "grocery", "card_country": "US", "device_score": 0.4}|not_fraud|0.030000
2025-12-01T05:29:47.412268|{"amount": 120.0, "transaction_time": 3600.0, "merchant_type": "grocery", "card_country": "IN", "device_score": 0.4}|not_fraud|0.010000
2025-12-01T05:29:57.172444|{"amount": 120.0, "transaction_time": 3600.0, "merchant_type": "foreign_high_risk", "card_country": "IN", "device_score": 0.4}|fraud|0.600000
2025-12-01T05:30:11.116551|{"amount": 120.0, "transaction_time": 3600.0, "merchant_type": "foreign_high_risk", "card_country": "IN", "device_score": 0.4}|not_fraud|0.600000
2025-12-01T05:30:17.408507|{"amount": 120.0, "transaction_time": 3600.0, "merchant_type": "foreign_high_risk", "card_country": "IN", "device_score": 0.4}|not_fraud|0.600000
2025-12-01T05:30:21.891478|{"amount": 120.0, "transaction_time": 3600.0, "merchant_type": "foreign_high_risk", "card_country": "IN", "device_score": 0.4}|fraud|0.600000
2025-12-01T05:30:29.940228|{"amount": 120.0, "transaction_time": 3600.0, "merchant_type": "foreign_high_risk", "card_country": "IN", "device_score": 0.4}|fraud|0.600000
2025-12-01T05:32:57.878444|{"amount": 88.0765224293421, "transaction_time": 35484.0, "merchant_type": "grocery", "card_country": "UK", "device_score": 0.3990944997721632}|not_fraud|0.000000
2025-12-01T05:32:58.872392|{"amount": 214.63996356646624, "transaction_time": 59145.0, "merchant_type": "grocery", "card_country": "UK", "device_score": 0.2505985364154336}|fraud|0.520000
2025-12-01T05:32:59.920506|{"amount": 198.49090491320257, "transaction_time": 84616.0, "merchant_type": "grocery", "card_country": "BR", "device_score": 0.3395023699016256}|not_fraud|0.035000
2025-12-01T05:33:00.931087|{"amount": 131.42330960127398, "transaction_time": 45254.0, "merchant_type": "online", "card_country": "IN", "device_score": 0.9245925533186488}|not_fraud|0.235000
2025-12-01T05:33:01.906962|{"amount": 131.8422570335427, "transaction_time": 37878.0, "merchant_type": "grocery", "card_country": "CN", "device_score": 0.6622026342982749}|not_fraud|0.005000
2025-12-01T05:33:02.878268|{"amount": 32.89070187575987, "transaction_time": 27287.0, "merchant_type": "travel", "card_country": "CN", "device_score": 0.0252518829295772}|not_fraud|0.005000
2025-12-01T05:33:03.863953|{"amount": 37.119342410702686, "transaction_time": 1055.0, "merchant_type": "grocery", "card_country": "IN", "device_score": 0.1742508427312176}|not_fraud|0.025000
2025-12-01T05:33:04.850299|{"amount": 23.56475237224316, "transaction_time": 82060.0, "merchant_type": "grocery", "card_country": "UK", "device_score": 0.0551226139221545}|not_fraud|0.010000
2025-12-01T05:35:50.140612|{"amount": 120.0, "transaction_time": 45900.0, "merchant_type": "travel", "card_country": "US", "device_score": 0.4}|not_fraud|0.010000
2025-12-01T05:36:00.767980|{"amount": 120.0, "transaction_time": 45900.0, "merchant_type": "travel", "card_country": "IN", "device_score": 0.4}|not_fraud|0.010000
2025-12-01T05:37:43.045932|{"amount": 88.0765224293421, "transaction_time": 35484.0, "merchant_type": "grocery", "card_country": "UK", "device_score": 0.3990944997721632}|not_fraud|0.000000
2025-12-01T05:37:44.011214|{"amount": 214.63996356646624, "transaction_time": 59145.0, "merchant_type": "grocery", "card_country": "UK", "device_score": 0.2505985364154336}|fraud|0.520000
2025-12-01T05:37:44.990924|{"amount": 198.49090491320257, "transaction_time": 84616.0, "merchant_type": "grocery", "card_country": "BR", "device_score": 0.3395023699016256}|not_fraud|0.035000
2025-12-01T05:37:45.973661|{"amount": 131.42330960127398, "transaction_time": 45254.0, "merchant_type": "online", "card_country": "IN", "device_score": 0.9245925533186488}|not_fraud|0.235000
2025-12-01T05:37:46.857078|{"amount": 131.8422570335427, "transaction_time": 37878.0, "merchant_type": "grocery", "card_country": "CN", "device_score": 0.6622026342982749}|not_fraud|0.005000
2025-12-01T05:37:47.731859|{"amount": 32.89070187575987, "transaction_time": 27287.0, "merchant_type": "travel", "card_country": "CN", "device_score": 0.0252518829295772}|not_fraud|0.005000
2025-12-01T05:37:48.630265|{"amount": 37.119342410702686, "transaction_time": 1055.0, "merchant_type": "grocery", "card_country": "IN", "device_score": 0.1742508427312176}|not_fraud|0.025000
2025-12-01T05:37:49.589314|{"amount": 23.56475237224316, "transaction_time": 82060.0, "merchant_type": "grocery", "card_country": "UK", "device_score": 0.0551226139221545}|not_fraud|0.010000
2025-12-01T05:37:50.542709|{"amount": 97.25781178129206, "transaction_time": 380.0, "merchant_type": "grocery", "card_country": "US", "device_score": 0.7368252636964233}|not_fraud|0.255000
